rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,key_press,success_time,board_size,board_set,board_no,success
11881,"{"Q0":"weah92"}",survey-text,0,11889,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL
1804,NULL,instructions,1,13694,0.0-1.0,NULL,NULL,NULL,NULL,NULL,NULL
9694,NULL,instructions,2,23389,0.0-2.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL
1301,NULL,html-keyboard-response,3,24692,0.0-2.0-1.0,67,NULL,NULL,NULL,NULL,NULL
15219,NULL,instructions,4,39911,0.0-3.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,sudoku_trial,5,88395,0.0-4.0,NULL,48477,boards2x3,d,0,1
12778,NULL,instructions,6,101175,0.0-5.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,sudoku_trial,7,226468,0.0-6.0,NULL,NULL,boards2x4,a,0,
NULL,NULL,sudoku_trial,8,349191,0.0-7.0,NULL,NULL,boards2x4,c,0,
NULL,NULL,sudoku_trial,9,375897,0.0-8.0,NULL,26704,boards2x2,a,0,1
NULL,NULL,sudoku_trial,10,498625,0.0-9.0,NULL,NULL,boards2x4,b,3,
NULL,NULL,sudoku_trial,11,563968,0.0-10.0,NULL,65337,boards2x3,a,2,1
NULL,NULL,sudoku_trial,12,629629,0.0-11.0,NULL,65658,boards2x3,c,0,1
NULL,NULL,sudoku_trial,13,652189,0.0-12.0,NULL,22557,boards2x2,b,2,1
NULL,NULL,sudoku_trial,14,725946,0.0-13.0,NULL,73755,boards2x3,b,2,1
NULL,NULL,sudoku_trial,15,746963,0.0-14.0,NULL,21016,boards2x2,c,4,1
5045,NULL,instructions,16,752008,0.0-15.0,NULL,NULL,NULL,NULL,NULL,NULL
