view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,responses,stimulus,key_press,success_time,board_size,board_set,board_no,success
"[{"page_index":0,"viewing_time":73902},{"page_index":1,"viewing_time":2723},{"page_index":2,"viewing_time":1359},{"page_index":3,"viewing_time":1616}]",79601,instructions,0,79604,0.0-0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3525,survey-multi-choice,1,83138,0.0-1.0,"{"Q0":"I agree to participate in this research study"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":2015},{"page_index":1,"viewing_time":1415},{"page_index":0,"viewing_time":6925},{"page_index":1,"viewing_time":1206},{"page_index":2,"viewing_time":1969}]",13530,instructions,2,96669,0.0-2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,14656,survey-likert,3,111328,0.0-3.0,"{"Q0":3,"Q1":2,"Q2":3}",NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,40670,survey-likert,4,152000,0.0-4.0,"{"Q0":2,"Q1":2,"Q2":3}",NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,13744,survey-likert,5,165747,0.0-5.0,"{"Q0":2,"Q1":2,"Q2":2}",NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,14432,survey-likert,6,180181,0.0-6.0,"{"Q0":"","Q1":1,"Q2":1}",NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,10749,survey-likert,7,190932,0.0-7.0,"{"Q0":1,"Q1":"","Q2":1}",NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,56666,survey-likert,8,247601,0.0-8.0,"{"Q0":3,"Q1":2,"Q2":1}",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":5325}]",5325,instructions,9,252926,0.0-9.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"[{"page_index":0,"viewing_time":1170}]",1171,instructions,10,254097,0.0-10.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,11598,survey-likert,11,265697,0.0-11.0,"{"Q0":3,"Q1":3,"Q2":1}",NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,17624,survey-likert,12,283324,0.0-12.0,"{"Q0":4,"Q1":2,"Q2":2}",NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3643,survey-multi-choice,13,286970,0.0-13.0,"{"Q0":"No, I have never solved Sudoku puzzles before"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,5329,survey-multi-choice,14,292304,0.0-15.0,"{"Q0":"Undergraduate degree (e.g., BA)"}",NULL,NULL,NULL,NULL,NULL,NULL,NULL
