view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,responses,stimulus,key_press,success_time,board_size,board_set,board_no,success,completed
NULL,791,survey-text,11,26108,0.0-13.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,719,survey-multi-choice,12,26828,0.0-14.0,"{"Q0":""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,771,html-keyboard-response,17,34565,0.0-16.1-1.1,NULL,"Are you ready to solve a practice Sudoku? <br><br> Yes, I am ready! (Press C) <br><br> Not yet, I would like to read the rules once again, please! (Press R)",82,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":324},{"page_index":1,"viewing_time":278},{"page_index":2,"viewing_time":143},{"page_index":3,"viewing_time":179},{"page_index":4,"viewing_time":183},{"page_index":5,"viewing_time":134},{"page_index":6,"viewing_time":4107}]",5348,instructions,18,39913,0.0-16.2-0.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,1092,html-keyboard-response,19,41005,0.0-16.2-1.2,NULL,"Are you ready to solve a practice Sudoku? <br><br> Yes, I am ready! (Press C) <br><br> Not yet, I would like to read the rules once again, please! (Press R)",67,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,sudoku_trial,20,42740,0.0-17.0,NULL,NULL,NULL,NULL,boards2x3,d,0,,1
"[{"page_index":0,"viewing_time":1156}]",1156,instructions,21,43896,0.0-18.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,sudoku_trial,22,45260,0.0-19.0,NULL,NULL,NULL,NULL,boards2x3,a,3,,1
NULL,NULL,sudoku_trial,23,46695,0.0-20.0,NULL,NULL,NULL,NULL,boards2x3,c,3,,1
NULL,NULL,sudoku_trial,24,47946,0.0-21.0,NULL,NULL,NULL,NULL,boards2x3,b,0,,1
NULL,NULL,sudoku_trial,25,49195,0.0-22.0,NULL,NULL,NULL,NULL,boards2x3,b,2,,1
NULL,NULL,sudoku_trial,26,50467,0.0-23.0,NULL,NULL,NULL,NULL,boards2x3,b,4,,1
NULL,NULL,sudoku_trial,27,51628,0.0-24.0,NULL,NULL,NULL,NULL,boards2x3,c,1,,1
"[{"page_index":0,"viewing_time":897},{"page_index":1,"viewing_time":651}]",1549,instructions,28,53177,0.0-25.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
"[{"page_index":0,"viewing_time":427}]",428,instructions,29,53605,0.0-26.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
